2026-06-01 09:07:16,760 | fork_sync.py:84 | INFO | zzz_EDR-Freeze | https://github.com/cloudskytian/zzz_EDR-Freeze.git
2026-06-01 09:07:17,365 | fork_sync.py:106 | INFO | zzz_EDR-Freeze | https://github.com/TwoSevenOneT/EDR-Freeze.git
2026-06-01 09:07:18,144 | fork_sync.py:84 | INFO | zzz_efivar-rs | https://github.com/cloudskytian/zzz_efivar-rs.git
2026-06-01 09:07:19,029 | fork_sync.py:106 | INFO | zzz_efivar-rs | https://github.com/iTrooz/efivar-rs.git
2026-06-01 09:07:19,794 | fork_sync.py:84 | INFO | zzz_Exif-Remove | https://github.com/cloudskytian/zzz_Exif-Remove.git
2026-06-01 09:07:20,528 | fork_sync.py:106 | INFO | zzz_Exif-Remove | https://github.com/roothaxor/Exif-Remove.git
2026-06-01 09:07:21,341 | fork_sync.py:84 | INFO | zzz_ExplorerPatcher | https://github.com/cloudskytian/zzz_ExplorerPatcher.git
2026-06-01 09:07:22,148 | fork_sync.py:106 | INFO | zzz_ExplorerPatcher | https://github.com/valinet/ExplorerPatcher.git
2026-06-01 09:07:22,954 | fork_sync.py:180 | INFO | zzz_ExplorerPatcher | latest_release.body != upstream_latest_release.body, resync_latest_release
2026-06-01 09:07:23,375 | fork_sync.py:224 | INFO | zzz_ExplorerPatcher | release GitRelease(name="26100.8457.70.1") exist, del
2026-06-01 09:07:30,185 | fork_sync.py:238 | INFO | zzz_ExplorerPatcher | create release
2026-06-01 09:07:31,458 | fork_sync.py:251 | INFO | zzz_ExplorerPatcher | downloading ep_setup.exe
2026-06-01 09:07:31,846 | fork_sync.py:256 | INFO | zzz_ExplorerPatcher | uploading ep_setup.exe
2026-06-01 09:07:33,894 | fork_sync.py:251 | INFO | zzz_ExplorerPatcher | downloading ep_setup_arm64.exe
2026-06-01 09:07:34,383 | fork_sync.py:256 | INFO | zzz_ExplorerPatcher | uploading ep_setup_arm64.exe
2026-06-01 09:07:35,962 | fork_sync.py:262 | INFO | zzz_ExplorerPatcher | resync_latest_release finish
2026-06-01 09:07:35,962 | fork_sync.py:84 | INFO | zzz_EzWindSLIC | https://github.com/cloudskytian/zzz_EzWindSLIC.git
2026-06-01 09:07:36,835 | fork_sync.py:106 | INFO | zzz_EzWindSLIC | https://github.com/Dir3ctr1x/EzWindSLIC.git
2026-06-01 09:07:39,155 | fork_sync.py:84 | INFO | zzz_FACS_Utilities | https://github.com/cloudskytian/zzz_FACS_Utilities.git
2026-06-01 09:07:39,936 | fork_sync.py:106 | INFO | zzz_FACS_Utilities | https://github.com/FACS01-01/FACS_Utilities.git
2026-06-01 09:07:40,731 | fork_sync.py:84 | INFO | zzz_FFmpegFreeUI | https://github.com/cloudskytian/zzz_FFmpegFreeUI.git
2026-06-01 09:07:41,587 | fork_sync.py:106 | INFO | zzz_FFmpegFreeUI | https://github.com/Lake1059/FFmpegFreeUI.git
2026-06-01 09:07:42,370 | fork_sync.py:84 | INFO | zzz_FlashPatch | https://github.com/cloudskytian/zzz_FlashPatch.git
2026-06-01 09:07:42,987 | fork_sync.py:106 | INFO | zzz_FlashPatch | https://github.com/darktohka/FlashPatch.git
2026-06-01 09:07:43,763 | fork_sync.py:84 | INFO | zzz_free-programming-books-zh_CN | https://github.com/cloudskytian/zzz_free-programming-books-zh_CN.git
2026-06-01 09:07:44,663 | fork_sync.py:106 | INFO | zzz_free-programming-books-zh_CN | https://github.com/justjavac/free-programming-books-zh_CN.git
2026-06-01 09:07:45,548 | fork_sync.py:84 | INFO | zzz_game-programmer | https://github.com/cloudskytian/zzz_game-programmer.git
2026-06-01 09:07:46,264 | fork_sync.py:106 | INFO | zzz_game-programmer | https://github.com/miloyip/game-programmer.git
2026-06-01 09:07:47,135 | fork_sync.py:84 | INFO | zzz_Games-on-GitHub | https://github.com/cloudskytian/zzz_Games-on-GitHub.git
2026-06-01 09:07:47,855 | fork_sync.py:106 | INFO | zzz_Games-on-GitHub | https://github.com/leereilly/games.git
2026-06-01 09:07:48,716 | fork_sync.py:84 | INFO | zzz_GaspHack_Mod | https://github.com/cloudskytian/zzz_GaspHack_Mod.git
